Method,Time(%),TotalTime(ns),Count,Average(ns),Minimum(ns),Maximum(ns),Operation
4 1000 run 2,94.6,"594,697",15,"39,646.5","39,457","40,704",Kernel Time
4 1000 run 3,94.6,"594,472",15,"39,631.5","39,457","40,481",Kernel Time
4 1000 run 4,94.6,"594,375",15,"39,625.0","39,488","40,480",Kernel Time
4 1000 run 5,94.6,"594,722",15,"39,648.1","39,488","40,864",Kernel Time
4 10000 run 1,98.4,"2,229,846",15,"148,656.4","147,073","153,537",Kernel Time
4 10000 run 2,98.4,"2,254,838",15,"150,322.5","147,809","154,402",Kernel Time
4 10000 run 3,98.4,"2,233,146",15,"148,876.4","147,393","153,409",Kernel Time
4 10000 run 4,98.4,"2,245,691",15,"149,712.7","147,522","154,594",Kernel Time
4 10000 run 5,98.5,"2,251,690",15,"150,112.7","147,457","154,592",Kernel Time
4 100000 run 1,99.7,"20,502,480",15,"1,366,832.0","1,362,090","1,371,082",Kernel Time
4 100000 run 2,99.6,"20,492,187",15,"1,366,145.8","1,361,578","1,373,259",Kernel Time
4 100000 run 3,99.6,"20,498,622",15,"1,366,574.8","1,363,466","1,370,667",Kernel Time
4 100000 run 4,99.6,"20,487,074",15,"1,365,804.9","1,362,506","1,370,603",Kernel Time
4 100000 run 5,99.6,"20,423,709",15,"1,361,580.6","1,356,482","1,370,242",Kernel Time
4 1000000 run 1,99.7,"230,632,330",15,"15,375,488.7","13,329,974","17,106,510",Kernel Time
4 1000000 run 2,99.7,"222,361,061",15,"14,824,070.7","13,330,843","16,775,122",Kernel Time
4 1000000 run 3,99.7,"213,486,454",15,"14,232,430.3","13,332,541","16,505,619",Kernel Time
4 1000000 run 4,99.7,"225,444,029",15,"15,029,601.9","13,329,630","17,050,681",Kernel Time
4 1000000 run 5,99.7,"225,818,465",15,"15,054,564.3","13,333,396","17,043,835",Kernel Time
4 500 run 1,93.8,"527,750",15,"35,183.3","35,009","36,608",Kernel Time
4 500 run 2,93.8,"527,909",15,"35,193.9","35,008","36,832",Kernel Time
4 500 run 3,93.8,"528,137",15,"35,209.1","35,040","36,960",Kernel Time
4 500 run 4,93.8,"529,928",15,"35,328.5","35,072","36,897",Kernel Time
4 500 run 5,93.8,"528,421",15,"35,228.1","35,009","36,736",Kernel Time
4 5000 run 1,97.1,"1,168,142",15,"77,876.1","77,441","78,849",Kernel Time
4 5000 run 2,97.1,"1,168,750",15,"77,916.7","77,569","78,625",Kernel Time
4 5000 run 3,97.1,"1,168,175",15,"77,878.3","77,601","78,465",Kernel Time
4 5000 run 4,97.2,"1,166,828",15,"77,788.5","77,473","78,465",Kernel Time
4 5000 run 5,97.2,"1,166,919",15,"77,794.6","77,536","78,368",Kernel Time
4 50000 run 1,99.6,"10,445,453",15,"696,363.5","691,365","701,221",Kernel Time
4 50000 run 2,99.6,"10,433,303",15,"695,553.5","690,630","700,326",Kernel Time
4 50000 run 3,99.6,"10,441,462",15,"696,097.5","688,552","702,184",Kernel Time
